Lemma,Sense Key,Definition,Frequency,Correct Translation?,Correct Definition?,Notes
ilar neutur,plural%1:10:00::,the form of a word that is used to denote more than one,6,,,
adtreba,possess%2:42:00::,"have as an attribute, knowledge, or skill",13,,1,
techtaid,possess%2:42:00::,"have as an attribute, knowledge, or skill",5,,,
adrad,worship%1:04:00::,the activity of worshipping,2,,,
arm,arm%1:08:00::,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb,3,,,
adtreba,populate%2:42:00::,be an inhabitant of or reside in,3,"inhabit, dwell in",1,"This is close enough, but I think 'populate' isn't a great translation. 'inhabit' is better."
díṡruthaigidir,derive%2:30:01::,obtain from a particular source,2,,,
dán,humanistic_discipline%1:09:00::,studies intended to provide general knowledge and intellectual skills (rather than occupational or professional skills),2,,,
dán,art%1:06:00::,the products of human creativity; works of art collectively,2,,,
bunad,beginning%1:15:00::,"the place where something begins, where it springs into being",3,,,
erochuir,leg%1:08:01::,a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle,2,,,
coll,hazel%1:07:00::,a shade of brown that is yellowish or reddish; it is a greenish shade of brown when used to describe the color of someone's eyes,2,,,
aicme,tribe%1:14:00::,a social division of (usually preliterate) people,2,,,
molad,praise%1:10:00::,an expression of approval and commendation,3,,1,
congaib,incorporate%2:42:00::,include or contain; have as a component,2,,,
luib,plant%1:03:00::,(botany) a living organism lacking the power of locomotion,4,,,
